date,campaign_id,campaign_name,channel,campaign_type,product_category,target_age_group,target_location,start_date,end_date,campaign_duration_days,campaign_day_number,budget_tier_multiplier,impressions,clicks,spend,conversions,revenue
2025-01-12,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,1,0.7782687653019523,4314.0,67.0,143000.0,2.0,830200.0
2025-01-13,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,2,0.7782687653019523,3856.0,73.0,131100.0,3.0,1080500.0
2025-01-14,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,3,0.7782687653019523,5120.0,86.0,196100.0,4.0,1548400.0
2025-01-14,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,1,1.2430288576490232,9613.0,176.0,164700.0,5.0,1238200.0
2025-01-15,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,4,0.7782687653019523,3881.0,95.0,159300.0,4.0,1543100.0
2025-01-15,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,2,1.2430288576490232,9803.0,196.0,228300.0,6.0,1390200.0
2025-01-15,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,1,2.2532069216948445,41102.0,404.0,694500.0,2.0,475400.0
2025-01-16,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,5,0.7782687653019523,4224.0,100.0,188900.0,5.0,2849600.0
2025-01-16,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,3,1.2430288576490232,7542.0,150.0,156900.0,5.0,1426100.0
2025-01-16,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,2,2.2532069216948445,33579.0,390.0,420100.0,3.0,483500.0
2025-01-17,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,6,0.7782687653019523,4299.0,143.0,258900.0,8.0,2568700.0
2025-01-17,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,4,1.2430288576490232,6741.0,170.0,206500.0,4.0,1361500.0
2025-01-17,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,3,2.2532069216948445,42677.0,347.0,392600.0,2.0,433900.0
2025-01-18,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,1,0.5327846873343675,864.0,9.0,45400.0,1.0,390400.0
2025-01-18,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,7,0.7782687653019523,5537.0,112.0,212900.0,5.0,2155300.0
2025-01-18,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,5,1.2430288576490232,10479.0,413.0,569000.0,9.0,2533300.0
2025-01-18,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,4,2.2532069216948445,43055.0,712.0,1109100.0,5.0,1016200.0
2025-01-19,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,2,0.5327846873343675,1009.0,14.0,75600.0,1.0,656400.0
2025-01-19,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,8,0.7782687653019523,4125.0,82.0,142900.0,5.0,2163500.0
2025-01-19,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,6,1.2430288576490232,9008.0,270.0,289700.0,7.0,1579600.0
2025-01-19,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,5,2.2532069216948445,47658.0,646.0,862500.0,4.0,679400.0
2025-01-20,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,3,0.5327846873343675,993.0,14.0,42300.0,1.0,358700.0
2025-01-20,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,1,0.7885692993648544,5121.0,109.0,299500.0,1.0,431300.0
2025-01-20,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,9,0.7782687653019523,3159.0,84.0,135900.0,4.0,1768400.0
2025-01-20,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,7,1.2430288576490232,7851.0,198.0,228800.0,4.0,1574800.0
2025-01-20,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,6,2.2532069216948445,53153.0,879.0,1262100.0,5.0,1358500.0
2025-01-21,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,4,0.5327846873343675,1224.0,15.0,103100.0,1.0,833800.0
2025-01-21,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,2,0.7885692993648544,5039.0,137.0,446900.0,2.0,583700.0
2025-01-21,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,10,0.7782687653019523,4452.0,132.0,215100.0,7.0,3692500.0
2025-01-21,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,8,1.2430288576490232,9527.0,211.0,254000.0,4.0,1723200.0
2025-01-21,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,7,2.2532069216948445,35244.0,500.0,629300.0,3.0,823600.0
2025-01-22,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,5,0.5327846873343675,944.0,17.0,95200.0,2.0,820100.0
2025-01-22,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,3,0.7885692993648544,7962.0,175.0,515700.0,3.0,744600.0
2025-01-22,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,11,0.7782687653019523,3549.0,71.0,123500.0,3.0,811800.0
2025-01-22,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,9,1.2430288576490232,11701.0,319.0,345600.0,8.0,2199800.0
2025-01-22,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,8,2.2532069216948445,44961.0,601.0,852900.0,4.0,1042000.0
2025-01-23,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,6,0.5327846873343675,1139.0,16.0,97100.0,1.0,716200.0
2025-01-23,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,4,0.7885692993648544,5169.0,128.0,427100.0,2.0,982700.0
2025-01-23,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,12,0.7782687653019523,4400.0,80.0,168200.0,4.0,2484500.0
2025-01-23,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,10,1.2430288576490232,8584.0,290.0,390300.0,10.0,3214200.0
2025-01-23,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,9,2.2532069216948445,33499.0,518.0,587000.0,4.0,726300.0
2025-01-24,CMP-0072,Affiliate_Conversion_Groceries_Jan25,Affiliate,Conversion,Groceries,45-54,Palembang,2025-01-24,2025-07-05,163,1,1.12124152096451,1642.0,20.0,110000.0,2.0,820000.0
2025-01-24,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,7,0.5327846873343675,835.0,12.0,56700.0,1.0,431700.0
2025-01-24,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,5,0.7885692993648544,5880.0,187.0,590300.0,2.0,832400.0
2025-01-24,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,13,0.7782687653019523,4494.0,97.0,158600.0,5.0,1910500.0
2025-01-24,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,11,1.2430288576490232,7110.0,174.0,210300.0,4.0,1329300.0
2025-01-24,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,10,2.2532069216948445,47138.0,486.0,627900.0,3.0,835400.0
2025-01-25,CMP-0072,Affiliate_Conversion_Groceries_Jan25,Affiliate,Conversion,Groceries,45-54,Palembang,2025-01-24,2025-07-05,163,2,1.12124152096451,2259.0,27.0,121700.0,2.0,922600.0
2025-01-25,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,8,0.5327846873343675,873.0,11.0,44100.0,1.0,425700.0
2025-01-25,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,6,0.7885692993648544,7406.0,197.0,633600.0,3.0,1091300.0
2025-01-25,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,14,0.7782687653019523,5327.0,104.0,238600.0,6.0,2195400.0
2025-01-25,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,12,1.2430288576490232,10924.0,326.0,415600.0,6.0,2579100.0
2025-01-25,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,11,2.2532069216948445,42287.0,524.0,596900.0,3.0,873200.0
2025-01-26,CMP-0072,Affiliate_Conversion_Groceries_Jan25,Affiliate,Conversion,Groceries,45-54,Palembang,2025-01-24,2025-07-05,163,3,1.12124152096451,2998.0,34.0,123400.0,2.0,985000.0
2025-01-26,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,9,0.5327846873343675,970.0,19.0,110900.0,2.0,810500.0
2025-01-26,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,7,0.7885692993648544,6958.0,167.0,539200.0,2.0,585800.0
2025-01-26,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,15,0.7782687653019523,5947.0,119.0,219600.0,4.0,2443500.0
2025-01-26,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,13,1.2430288576490232,7127.0,192.0,248200.0,6.0,1342600.0
2025-01-26,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,12,2.2532069216948445,49760.0,618.0,924600.0,4.0,862800.0
2025-01-27,CMP-0072,Affiliate_Conversion_Groceries_Jan25,Affiliate,Conversion,Groceries,45-54,Palembang,2025-01-24,2025-07-05,163,4,1.12124152096451,1440.0,26.0,205800.0,3.0,1847200.0
2025-01-27,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,10,0.5327846873343675,752.0,13.0,144200.0,2.0,1047600.0
2025-01-27,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,8,0.7885692993648544,6645.0,217.0,710000.0,3.0,983100.0
2025-01-27,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,16,0.7782687653019523,2962.0,54.0,90100.0,3.0,1466400.0
2025-01-27,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,14,1.2430288576490232,7181.0,206.0,262800.0,,1698800.0
2025-01-27,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,13,2.2532069216948445,47083.0,700.0,822500.0,4.0,1289400.0
2025-01-28,CMP-0072,Affiliate_Conversion_Groceries_Jan25,Affiliate,Conversion,Groceries,45-54,Palembang,2025-01-24,2025-07-05,163,5,1.12124152096451,2068.0,36.0,176700.0,3.0,1300600.0
2025-01-28,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,11,0.5327846873343675,792.0,13.0,55300.0,1.0,457600.0
2025-01-28,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,9,0.7885692993648544,7780.0,159.0,559900.0,2.0,530700.0
2025-01-28,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,17,0.7782687653019523,4073.0,107.0,190000.0,5.0,2909100.0
2025-01-28,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,15,1.2430288576490232,6661.0,201.0,216900.0,6.0,1808100.0
2025-01-28,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,14,2.2532069216948445,59535.0,627.0,872100.0,4.0,1069400.0
2025-01-29,CMP-0072,Affiliate_Conversion_Groceries_Jan25,Affiliate,Conversion,Groceries,45-54,Palembang,2025-01-24,2025-07-05,163,6,1.12124152096451,1791.0,24.0,118000.0,2.0,865100.0
2025-01-29,CMP-0075,Affiliate_Conversion_Electronics_Jan25,Affiliate,Conversion,Electronics,55+,Makassar,2025-01-18,2025-02-27,41,12,0.5327846873343675,1140.0,15.0,40100.0,1.0,369400.0
2025-01-29,CMP-0012,Google_Awareness_Beauty_Jan25,Google Ads,Awareness,Beauty,45-54,Bali,2025-01-20,2025-06-15,147,10,0.7885692993648544,6325.0,256.0,1001900.0,5.0,2066200.0
2025-01-29,CMP-0026,Meta_Conversion_Fashion_Jan25,Meta Ads,Conversion,Fashion,18-24,Semarang,2025-01-12,2025-10-13,275,18,0.7782687653019523,3811.0,76.0,144700.0,4.0,1583100.0
2025-01-29,CMP-0036,TikTok_Conversion_Fashion_Jan25,TikTok Ads,Conversion,Fashion,45-54,Bali,2025-01-14,2025-10-02,262,16,1.2430288576490232,10784.0,308.0,344000.0,10.0,5262100.0
2025-01-29,CMP-0048,TikTok_Awareness_Beauty_Jan25,TikTok Ads,Awareness,Beauty,35-44,National,2025-01-15,2025-09-04,233,15,2.2532069216948445,55637.0,534.0,706600.0,4.0,848600.0
